price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
5824938,3474,1,3,2,yes,yes,no,no,no,1,yes,furnished
9385515,10845,2,4,2,yes,no,yes,no,no,3,no,furnished
6000601,7164,1,1,4,yes,no,yes,yes,no,0,yes,unfurnished
9740472,11949,5,3,2,yes,no,yes,no,yes,0,yes,semi-furnished
6661021,7627,2,3,3,yes,no,no,no,no,1,no,furnished
6945789,10775,2,3,1,yes,no,no,no,no,1,no,unfurnished
7062146,5133,4,4,4,yes,no,no,no,no,1,no,semi-furnished
8010027,9998,4,1,1,yes,yes,no,no,no,0,no,semi-furnished
6486325,5769,5,1,1,yes,no,yes,no,yes,2,no,unfurnished
7019364,9967,1,3,2,yes,yes,no,no,no,1,no,semi-furnished
5582033,3482,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
7797252,10657,2,3,4,no,no,no,no,no,1,no,semi-furnished
8087284,10129,4,1,2,yes,yes,no,no,yes,1,no,furnished
5863581,7063,1,2,3,yes,yes,no,no,no,3,no,unfurnished
4745786,4769,1,1,4,yes,no,no,no,no,2,yes,semi-furnished
6476671,5723,2,2,4,yes,no,yes,no,no,1,no,semi-furnished
4450501,2478,5,1,1,yes,no,yes,no,yes,1,no,unfurnished
9783562,9104,3,4,4,yes,no,yes,no,yes,1,no,furnished
6861154,9461,5,2,1,no,yes,yes,no,no,0,no,semi-furnished
5193350,2993,4,3,3,yes,no,yes,no,no,1,no,unfurnished
4729861,2838,1,4,1,yes,no,yes,no,yes,0,no,semi-furnished
6101731,6606,5,1,3,no,yes,yes,no,no,0,no,semi-furnished
6940397,7267,2,3,4,no,no,yes,no,yes,2,yes,unfurnished
7824571,8889,5,4,1,yes,no,no,no,no,0,no,furnished
4389996,3738,1,3,3,no,no,yes,no,no,0,no,semi-furnished
5675430,5528,2,2,4,yes,no,no,no,no,0,no,furnished
6465107,4258,1,4,1,yes,no,no,no,no,3,yes,furnished
6059736,2787,3,3,4,no,yes,no,no,no,2,no,furnished
7793465,8769,3,3,4,yes,no,yes,no,yes,0,no,semi-furnished
5561021,4878,3,4,1,yes,no,yes,no,no,2,no,semi-furnished
6081651,6494,5,2,2,yes,no,no,no,no,3,no,unfurnished
10162389,11152,5,3,4,yes,no,no,no,no,3,yes,furnished
8604510,10095,5,3,1,yes,no,yes,yes,yes,1,no,unfurnished
8921629,11968,5,2,4,yes,yes,no,no,no,3,no,unfurnished
5796513,5235,2,4,1,no,yes,yes,no,no,1,no,semi-furnished
8389782,9920,4,4,2,yes,no,no,no,no,3,no,furnished
7441113,8856,1,3,2,yes,no,yes,no,no,2,yes,furnished
7131834,9283,4,1,2,yes,no,no,yes,no,3,no,semi-furnished
7478129,7413,3,4,4,yes,no,no,no,no,1,no,unfurnished
7639076,11845,5,1,4,yes,no,no,no,yes,0,no,semi-furnished
8223214,7179,4,3,4,yes,no,no,no,no,2,yes,furnished
3924893,2158,2,2,1,yes,no,yes,no,no,1,no,semi-furnished
8345776,11576,5,1,2,yes,yes,yes,no,no,2,no,unfurnished
7905677,11926,2,1,3,yes,no,yes,no,no,0,yes,semi-furnished
4508469,1857,4,4,1,no,no,no,no,no,3,no,unfurnished
9534593,10467,4,4,4,yes,no,no,no,no,2,no,semi-furnished
7271538,7859,3,1,4,yes,no,no,no,no,2,no,semi-furnished
6230209,3052,2,4,4,yes,no,no,no,yes,1,yes,unfurnished
8504350,6666,5,3,4,yes,no,yes,no,yes,2,no,furnished
7339010,10429,2,2,2,yes,no,no,no,no,3,no,semi-furnished
6960901,7562,2,3,1,yes,no,no,no,yes,1,no,semi-furnished
7794211,9340,4,4,3,no,no,no,no,yes,1,no,semi-furnished
4022989,2528,2,2,3,no,yes,no,no,no,0,yes,semi-furnished
9084535,11292,4,3,1,no,no,yes,no,yes,0,yes,furnished
6579399,1693,4,4,4,yes,no,yes,no,yes,2,no,semi-furnished
4745692,4891,4,1,2,no,no,yes,no,yes,1,no,semi-furnished
6849010,6378,4,1,4,yes,no,no,no,yes,2,yes,semi-furnished
4923953,3146,2,1,3,yes,yes,no,no,yes,0,no,semi-furnished
7593694,9706,1,4,3,yes,no,no,no,no,3,no,unfurnished
6969580,9101,1,3,3,yes,no,no,no,yes,2,no,semi-furnished
6228596,2538,2,3,4,yes,no,no,no,no,3,no,furnished
6107464,5570,2,3,1,yes,no,no,no,yes,3,no,semi-furnished
6812081,6431,5,3,4,no,no,no,no,no,3,no,unfurnished
6564232,8448,3,3,1,yes,no,no,no,no,2,no,semi-furnished
6811465,7096,5,4,4,no,no,yes,no,no,2,no,semi-furnished
7163124,7896,4,2,4,yes,no,yes,no,no,0,yes,unfurnished
4713413,1901,2,4,2,yes,no,yes,no,no,0,no,unfurnished
5590908,6838,4,1,1,yes,no,no,no,no,1,yes,semi-furnished
5668059,3296,4,2,3,yes,no,yes,no,yes,0,no,semi-furnished
6394542,2943,5,4,2,no,yes,no,no,yes,3,yes,unfurnished
6860450,6362,5,2,1,no,no,yes,no,no,3,no,semi-furnished
5385865,3397,2,4,3,no,no,no,no,yes,2,no,unfurnished
6205088,2453,5,4,3,yes,no,no,no,no,1,no,semi-furnished
8447259,11930,1,3,4,yes,no,yes,no,no,0,yes,furnished
7916899,10487,3,3,2,no,no,no,no,no,2,no,semi-furnished
6076421,5346,4,3,1,yes,no,no,no,no,3,no,unfurnished
5932408,7736,1,2,4,yes,no,yes,no,no,0,no,semi-furnished
3094484,3561,2,1,1,no,yes,yes,no,no,2,no,unfurnished
8108088,10500,4,2,4,yes,no,no,no,no,0,yes,semi-furnished
8512037,7668,5,3,1,yes,no,no,no,yes,3,yes,semi-furnished
4657208,1999,1,3,2,yes,no,no,no,no,1,no,furnished
7047922,11414,1,3,2,yes,no,yes,no,yes,1,no,unfurnished
7470634,11297,3,1,2,yes,no,no,no,no,2,no,semi-furnished
8504144,11727,1,3,4,yes,no,no,no,no,0,no,furnished
4146394,2973,3,2,1,yes,no,no,no,no,1,no,semi-furnished
5370961,3524,5,2,4,no,no,no,no,no,3,no,semi-furnished
7383890,5826,3,2,4,yes,yes,no,no,no,0,yes,furnished
6089911,3652,4,3,4,no,no,no,no,yes,0,no,furnished
5955778,3423,3,3,1,yes,no,no,no,no,2,no,semi-furnished
5461960,6031,1,2,3,no,no,yes,no,no,2,yes,unfurnished
4877959,2152,1,2,4,yes,yes,yes,no,no,3,no,unfurnished
6218537,2465,1,3,4,yes,no,yes,no,yes,3,no,semi-furnished
9054960,11367,4,3,1,yes,no,yes,no,yes,1,yes,semi-furnished
7590698,8705,2,2,4,yes,no,no,no,no,1,yes,furnished
5446747,2925,3,4,4,yes,no,no,no,no,3,no,unfurnished
7011413,3384,2,4,4,yes,no,yes,no,yes,0,no,furnished
8318558,10005,2,3,3,yes,yes,yes,no,no,1,no,furnished
9747930,10886,5,4,3,yes,yes,no,no,yes,2,yes,semi-furnished
6237681,6735,4,4,1,yes,no,no,no,yes,0,no,semi-furnished
4982304,2322,4,2,3,yes,no,no,no,no,3,no,furnished
5401394,4477,1,2,4,yes,no,no,no,no,3,no,unfurnished
6178677,7132,1,3,1,yes,no,no,no,no,3,no,semi-furnished
5850432,3967,3,3,4,yes,no,yes,no,no,1,no,unfurnished
8019509,10274,1,4,3,yes,no,yes,no,no,0,yes,furnished
